price,bedrooms,sqft_living,grade,bathrooms,sqft_lot,floors,waterfront,view,condition
221900.0,3,1180,7,1.0,5650,1.0,0,0,3
538000.0,3,2570,7,2.25,7242,2.0,0,0,3
180000.0,2,770,6,1.0,10000,1.0,0,0,3
604000.0,4,1960,7,3.0,5000,1.0,0,0,5
510000.0,3,1680,8,2.0,8080,1.0,0,0,3
1230000.0,4,5420,11,4.5,101930,1.0,0,0,3
257500.0,3,1715,7,2.25,6819,2.0,0,0,3
291850.0,3,1060,7,1.5,9711,1.0,0,0,3
229500.0,3,1780,7,1.0,7470,1.0,0,0,3
323000.0,3,1890,7,2.5,6560,2.0,0,0,3
662500.0,3,3560,8,2.5,9796,1.0,0,0,3
468000.0,2,1160,7,1.0,6000,1.0,0,0,4
310000.0,3,1430,7,1.0,19901,1.5,0,0,4
400000.0,3,1370,7,1.75,9680,1.0,0,0,4
530000.0,5,1810,7,2.0,4850,1.5,0,0,3
650000.0,4,2950,9,3.0,5000,2.0,0,3,3
395000.0,3,1890,7,2.0,14040,2.0,0,0,3
485000.0,4,1600,7,1.0,4300,1.5,0,0,4
189000.0,2,1200,7,1.0,9850,1.0,0,0,4
230000.0,3,1250,7,1.0,9774,1.0,0,0,4
385000.0,4,1620,7,1.75,4980,1.0,0,0,4
2000000.0,3,3050,9,2.75,44867,1.0,0,4,3
285000.0,5,2270,8,2.5,6300,2.0,0,0,3
252700.0,2,1070,7,1.5,9643,1.0,0,0,3
329000.0,3,2450,8,2.25,6500,2.0,0,0,4
233000.0,3,1710,6,2.0,4697,1.5,0,0,5
937000.0,3,2450,8,1.75,2691,2.0,0,0,3
667000.0,3,1400,8,1.0,1581,1.5,0,0,5
438000.0,3,1520,7,1.75,6380,1.0,0,0,3
719000.0,4,2570,8,2.5,7173,2.0,0,0,3
580500.0,3,2320,8,2.5,3980,2.0,0,0,3
280000.0,2,1190,7,1.5,1265,3.0,0,0,3
687500.0,4,2330,7,1.75,5000,1.5,0,0,4
535000.0,3,1090,8,1.0,3000,1.5,0,0,4
322500.0,4,2060,7,2.75,6659,1.0,0,0,3
696000.0,3,2300,8,2.5,3060,1.5,0,0,3
550000.0,4,1660,5,1.0,34848,1.0,0,0,1
640000.0,4,2360,8,2.0,6000,2.0,0,0,4
240000.0,4,1220,7,1.0,8075,1.0,0,0,2
605000.0,4,2620,8,2.5,7553,2.0,0,0,3
625000.0,4,2570,9,2.5,5520,2.0,0,0,3
775000.0,4,4220,8,2.25,24186,1.0,0,0,3
861990.0,5,3595,9,2.75,5639,2.0,0,0,3
685000.0,3,1570,7,1.0,2280,2.0,0,0,3
309000.0,3,1280,6,1.0,9656,1.0,0,0,4
488000.0,3,3160,8,2.5,13603,2.0,0,0,3
210490.0,3,990,6,1.0,8528,1.0,0,0,3
785000.0,4,2290,9,2.5,13416,2.0,0,0,4
450000.0,3,1250,7,1.75,5963,1.0,0,0,4
1350000.0,3,2753,9,2.5,65005,1.0,1,2,5
228000.0,3,1190,7,1.0,9199,1.0,0,0,3
345000.0,5,3150,8,2.5,9134,1.0,0,0,4
600000.0,3,1410,7,1.75,4080,1.0,0,0,4
585000.0,2,1980,7,1.75,8550,1.0,0,0,3
920000.0,5,2730,8,2.25,6000,1.5,0,0,3
885000.0,4,2830,9,2.5,5000,2.0,0,0,3
292500.0,4,2250,7,2.5,4495,2.0,0,0,3
301000.0,3,2420,8,2.5,4750,2.0,0,0,3
951000.0,5,3250,8,3.25,14342,2.0,0,4,4
430000.0,4,1850,8,3.0,9976,2.0,0,0,3
650000.0,3,2150,8,2.25,21235,1.0,0,3,4
289000.0,3,1260,7,1.75,8400,1.0,0,0,3
505000.0,3,2519,8,1.75,8690,2.0,0,0,5
549000.0,3,1540,8,1.75,1044,3.0,0,0,3
425000.0,3,1660,7,2.25,6000,1.0,0,0,3
317625.0,3,2770,7,2.75,3809,1.5,0,0,5
975000.0,4,2720,10,2.5,11049,2.0,0,0,3
287000.0,4,2240,7,2.5,4648,2.0,0,0,3
204000.0,3,1000,7,1.0,12070,1.0,0,0,4
1330000.0,5,3200,8,2.25,20158,1.0,0,0,3
1040000.0,5,4770,11,3.25,50094,1.0,0,0,4
325000.0,3,1260,7,2.0,5612,1.0,0,0,4
571000.0,4,2750,7,2.0,7807,1.5,0,0,5
360000.0,4,2380,8,2.5,5000,2.0,0,0,3
349000.0,3,1790,7,1.75,50529,1.0,0,0,5
832500.0,4,3430,10,4.0,35102,2.0,0,0,4
380000.0,4,1760,7,1.75,7300,1.0,0,0,3
480000.0,3,1040,7,1.0,5060,1.0,0,0,3
410000.0,3,1410,7,1.0,5060,1.0,0,0,4
720000.0,4,3450,10,2.5,39683,2.0,0,0,3
390000.0,3,2350,8,2.5,5100,2.0,0,0,3
360000.0,4,1900,7,2.5,5889,2.0,0,0,3
355000.0,2,2020,7,1.0,6720,1.0,0,0,3
356000.0,3,1680,8,1.5,8712,1.0,0,0,3
315000.0,3,960,6,1.0,6634,1.0,0,0,3
940000.0,3,2140,9,1.5,3600,2.0,0,0,3
305000.0,5,2660,7,2.25,8400,1.5,0,0,5
461000.0,3,2770,9,3.25,6278,2.0,0,0,3
215000.0,2,1610,7,2.25,2040,2.0,0,0,4
335000.0,2,1030,7,1.75,1066,2.0,0,0,3
243500.0,4,1980,7,2.5,7403,2.0,0,0,3
1100000.0,5,3520,10,2.75,6353,2.0,0,0,4
153000.0,3,1200,7,1.0,10500,1.0,0,0,3
430000.0,3,1580,8,1.5,5000,1.0,0,0,3
700000.0,3,1580,8,1.5,5000,1.0,0,0,3
905000.0,4,3300,7,2.5,10250,1.0,0,0,3
247500.0,3,1960,7,1.75,15681,1.0,0,0,3
199000.0,4,1160,7,1.5,6400,1.0,0,0,4
314000.0,3,1810,7,1.75,41800,1.0,0,0,5
437500.0,3,2320,9,2.5,36847,2.0,0,2,3